id,name,year,description,alcohol_by_volume,oak,soil,min_serve_temperature,max_serve_temperature,fun_facts,aromas,taste,fruit,earth,body,acid,tannins,alcohol,sweetness,classic_pairings,label_image,bottle_image,vineyard,appearance,region,farming,lifestyle_image,profile,tasting_tip,appearance_description,region_description
153,Wooldridge Creek,2015,"If you’ve heard of Oregon’s Rogue Valley, you can thank husband-and-wife winemakers Greg Paneitz and Kara Olmo. When they arrived in 2002, most vineyards sold their grapes to wineries in other regions. To prove Rogue Valley could make its own great wines to pair with food, Greg and Kara offered their wines only on tap in Oregon’s best restaurants. People caught on quickly— and wineries that bought Rogue Valley grapes in the past learned they were no longer for sale. This wine is blend of 34% Viognier, 33% Marsanne, and 33% Roussanne.",14.3,Stainless steel (no oak),Various,,,"The Wooldridge Gulch, adjacent to the vineyard, is named for Glenn Wooldridge, the first person to travel the river by boat all the way to the Pacific Ocean.",,"",,,7,5,0,,2,This concentrated white has the body and fruitiness to pinch-hit for a lighter-style red. It can hold its own alongside roasted meats or winter veggies without overpowering subtler flavors in a dish,,https://d1zo0hr4fmj52a.cloudfront.net/wine/153/bottle_images/1480958076-50-1239/wooldridge-mock_Shadow.png,Wooldridge Creek,White,"Rogue Valley, Oregon, USA",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/153/lifestyle_images/1483476189-23-3029/8278-my-ba-jan-2017-wooldridge-creek-white.jpg,"Wooldridge Creek White is like a Côtes du Rhône white on steroids. In Oregon, all three grape varieties in this blend develop a fuller body, plus more flavor and aromatic intensity.","The rich, full orchard-fruit flavors are from the Viognier grape. The lighter, floral characters you detect are from the other two grapes.",Pale straw,"The Rogue Valley is a small, sunny region in Oregon’s southwest corner, not far from California. It’s the Oregon you imagine: lush and green, where wildlife abounds (bears and bobcats often wander among the vines). The area is blocked from the Pacific by a mountain range, so the weather stays mild year-round— perfect for both red and white grapes."
41,Helen Foggo,2015,"Helen Foggo’s wine résumé is among the most impressive in Australia. She’s worked for small boutiques, corporate behemoths and everything in between across all of the country’s major wine regions. She consulted Blue Apron on this Shiraz, made of grapes from a family fruit farm that abuts a protected wildlife area teeming with kangaroos and emus that sometimes wander among the nearly 50-year-old vines. The farm also grows citrus, orchard fruits and almonds, which makes for a balanced ecosystem in which the vines can thrive and their grapes ripen fully so as to express the place where they were grown.",14.4,100% American oak,Loam,,,"The Australians began growing Shiraz in the 1830s. Although rare, there are some vines 170 years old, still growing grapes used to make wine. ",,"",,,8,6,4,,0,"This is exactly what you would expect from an Australian Shiraz: loaded with spice, big fruit and oak tannins. Match this wine with bolder, more powerful dishes, especially recipes featuring red meat. Some dismiss Shiraz as a sort of blunt instrument, but it's really all about full-flavored, hedonistic enjoyment. Embrace the lack of subtlety. ",,https://d1zo0hr4fmj52a.cloudfront.net/wine/41/bottle_images/1480782008-68-8442/Helen_shiraz_bottle.png,Woolenook,Red,South Eastern Australia,Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/41/lifestyle_images/1480781936-26-8642/8139-my-ba-helen-foggo_web.jpg,"The warm, dry climate of South Eastern Australia forces grapevines to produce small, intensely flavored grapes–which results in unrestrained, jammy wines. The Helen Foggo Shiraz fits this classic style, with concentrated fruit, integrated tannins and alluring savory characters all wrapped in a silky-smooth texture from aging in American oak barrels. ",The chemical compound that gives Shiraz its spicy aroma and flavor is called zingerone. It’s similar to one that lends fresh ginger its aromatic pungency.,Inky with magenta edges,"South Eastern Australia is one of a few winemaking hot spots Down Under, but only here will you find the country’s oldest and most prestigious producers. Shiraz thrives in the sunny, warm, dry climate, with some vines more than a century old. Their roots reach several meters deep into the loamy, limestone soil to pull water and flavor-enhancing nutrients into the tiny berries."
39,Rogers Vineyards,2014,"Lake County, north of Napa, is perhaps the most unfairly overlooked California wine region. It’s a shame, because the wines are ripe, expressive and classically styled. Appropriately, Cabernet Sauvignon and Sauvignon Blanc, the primary grapes of Bordeaux, France, are star performers here too. Dozens of miles from the coast, Lake County should be unsuitable for agriculture. But winds whipping across Clear Lake, the largest freshwater body in California, cool this sun-drenched area to create a perfect viticultural zone. The Clear Lake appellation itself is the primary beneficiary of this effect—it’s where you’ll find grower Larry Rogers, who uses it to his full advantage. Rather, he doesn’t do much other than let the cool, sunny climate concentrate the flavors of his grapes through the slow, even-ripening season. He knows from 45 years of farming that the less he intervenes, the better the wine quality will be.",13.4,Stainless steel (no oak),"Loam, sand and gravel ",,,"Most Sauvignon Blanc is light and refreshing—as well as affordable. But it’s also used to make one of the world’s most expensive dessert wines, Sauternes. ",,"",,,3,5,0,,0,"Typically, Sauvignon Blanc either brims with tropical flavors, as you find in New Zealand, or minerally and grassy characters, as you find in French examples. This wine takes the best of both, so it pairs as well with bolder-flavored seafood dishes as with more subtle recipes highlighting spring vegetables, such as radishes and peas.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/39/bottle_images/1480620029-47-7276/Rogers_bottle.png,Rogers Vineyards,White,"Clear Lake, Lake County, California",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/39/lifestyle_images/1480608238-13673-4661/8000-my-ba-rogers-vineyards_web.jpg,"The Rogers Vineyards Sauvignon Blanc is a vibrant, light-bodied white with lush tropical-fruit flavors. They're deftly balanced with Old World-style lemon and mineral characters, all supported by medium, fresh acidity that makes your mouth water for a second sip.","One of the greatest pairings with Sauvignon Blanc is freshly shucked oysters. With or without lemon, it's a perfect match.",Pale straw,"Lake County covers 1,300 square miles–only a small fraction of which is used to grow grapes. Yet the terrain is diverse, separated into five distinct appellations, each with its own microclimate and soil types that suit different grape varieties. The Clear Lake appellation, much of which is occupied by the lake itself, is one of the coolest viticultural climates in all of California. The steady, even temperature is ideally suited to growing Sauvignon Blanc."
144,Medel,2015,"Oregon winemakers seeking 90-plus scores get their grapes from the Johnson and Briscoe vineyards. Matt Wengel did, too—but he wanted this wine to set a new Oregon Pinot standard. That’s why the organically grown grapes were picked by hand, then fermented naturally. Matt never even ran the wine through a pump—he let gravity do the work. More than extend his own run of high scores, he wanted this Pinot to make a direct trip from the vine to your glass.",14.2,100% French oak,Various,,,"Only 14 years after the first vines were planted, an Oregon Pinot Noir won a prestigious wine competition—in France. French winemakers then started moving to Oregon.",,"",,,5,6,6,,0,"The two foods that always pair beautifully with Oregon Pinot Noir: salmon and pork, almost without exception. But this Pinot has the heft to handle heartier, meatier dishes, too.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/144/bottle_images/1478288186-41-6502/Medel-PN-PP.png,Johnson Vineyard & Briscoe Vineyard,Red,"Willamette Valley, Oregon, USA",Certified organic,https://d1zo0hr4fmj52a.cloudfront.net/wine/144/lifestyle_images/1480781808-59-0528/4554-my-ba-dec-2016-medel_web.jpg,"Medel Pinot Noir is the Oregon Pinot paradigm: Old World nuance and New World fruitiness. It has fuller flavors, though, from the wine’s 30 days macerating with the grape skins and seeds.",The subtle vanilla flavor comes from aging the wine for 14 months in French oak barrels.,Ruby,"Willamette Valley is America’s most prestigious Pinot Noir region, with the soils and cool climate the grape loves—not to mention six sub-regions that all impart distinct flavors and aromas. What Willamette isn’t, however, is consistent; there are more cloudy, rainy years than sunny ones. But warm, dry 2015 is being heralded as the best in a decade."
141,Vinum,2015,"After Chris Condos and Richard Bruno graduated from the University of California, Davis, winemaking program in the mid-’90s, both were content making high-scoring Cabernet (Chris at the boutique Kathryn Kennedy winery, and Richard running Don Sebastiani & Sons). But they shared a passion for lesser-known grapes such as Riesling, so they maxed out their credit cards to launch Vinum. At first sip, it’ll be obvious they were able to pay off their balance quickly.",13.2,Stainless steel (no oak),Various,,,"About half of California’s entire Riesling production comes from vines planted in Monterey County, home to Santa Lucia Highlands.",,"",,,4,7,0,,1,"Any Asian dish is a surefire match for Riesling. Its subtle sweetness counters spiciness, and its crispness draws out the flavors of fresh veggies and aromatic ingredients like ginger.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/141/bottle_images/1478283597-13542-1020/Vinum-Cellars-Riesling-PP-REVISED.png,Various,White,"Santa Lucia Highlands, Monterey, California",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/141/lifestyle_images/1480781880-35-0752/4447-my-ba-dec-2016-vinum_web.jpg,"Vinum Cellars Riesling is classic in style, similar to a dry German Riesling—but with a touch more flavor and aromatic intensity, a result of growing the grapes in sunnier California.",The wine has a hint of sweetness you’ll detect on the tip of your tongue. That’ll quickly give way as your mouth waters from the medium-high acidity.,Pale straw,"Monterey’s Santa Lucia Highlands sit about 1,200 feet above sea level. Abundant late morning and afternoon sunlight ripens the grapes, but the process slows as the temperature drops from evening breezes and fog rolling in from Monterey Bay. This preserves the grapes’—and the wines’— palate-cleansing freshness."
37,Scharf Farms Vineyard,2015,"The Scharfs have been farming their family land in Oregon's Willamette Valley since the early 1930s. Brothers Justin and Jason Scharf, the fourth generation running the farm, helped elevate the role of grapes in a holistic agricultural operation that includes hazelnuts, cloves, wheat, grass and seeds, all grown sustainably. The Scharfs only worked grapevines into their farming program in 1991; their Pinot Gris vines, planted in 1999, inhabit a special microclimate on the property on the western side of the Willamette Valley known as the Van Duzer Corridor. It's essentially a gap in the rolling hills that allows cool breezes to roll in off the Pacific Ocean. This chilly air, combined with the valley's long sunshine hours, helps preserve the grapes’ natural acidity, resulting in a vibrant, food-friendly wine.",14.1,Stainless steel (no oak),Missoula flood–sedimentary,,,"Pinot Gris grapes are dark purple, not green, as with most white wines. The wine is purple, too—the color is filtered out before the wine is bottled.",,"",,,3,5,0,,0,"Pinot Gris is always a good alternative to weightier whites, as it's one of the more refreshing varieties you can find. Pinot Gris is therefore versatile for pairing, as its minerality and freshness cleanse your palate and prepare it for your next bite of food—especially vegetable and fish dishes that are pan-fried.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/37/bottle_images/1480951383-53-7708/Scharf_pinot-gris_bottle.png,Scharf Farms,White,"Willamette Valley, Oregon",Sustainable,https://d1zo0hr4fmj52a.cloudfront.net/wine/37/lifestyle_images/1480782133-65-2955/8201-my-ba-scharf-farms-vineyard_web.jpg,"Scharf Farms Vineyard Pinot Gris is a light- to medium-bodied wine with clean, alluring fruit flavors. It was fermented in stainless steel to preserve its fresh, crisp character.","Pinot Gris is as much about texture as flavor. If it’s more concentrated and flavorful than, say, a Pinot Grigio, you've found a good one—likely from a cool climate.",Pale straw with apricot edges,"The Willamette Valley wine region is massive, home to more than 500 wineries spread across approximately 3 million acres. The valley is carved into several special subregions, each with distinct soil and microclimates. Pinot Noir is far and away the most widely planted variety, but Pinot Gris grows particularly well in the valley’s cooler spots."
40,Rancho Petaluma Windsor Oaks Vineyard,2014,"The Russian River Valley, nestled in Sonoma County, is truly a special place—perhaps the most prestigious cool-climate region in California. The appellation is typically associated with Pinot Noir, but Chalk Hill—a small, rugged, warmer area in the northeast corner of the appellation—boasts a unique mix of clay and volcanic soils that supports several white and red grape varieties. Windsor Oaks Vineyard, one of the largest premium growers in the area, found the perfect five-acre spot among their 250 planted acres that’s ideally suited to Zinfandel. This lower-elevation, sun-exposed section of the property offers the vines an extended ripening season to produce a full-bodied-yet-restrained, nuanced red. The wine’s silky texture is achieved through 15 months of aging in French oak barrels.",14.8,100% French oak,"Decomposed volcanic, Dibble clay loam",,,"Many consider Zinfandel to be America’s grape, given its popularity here. But Zin is actually from Croatia, where it’s called Crljenak Kaštelanski. ",,"",,,8,5,6,,0,"When a Zinfandel such as this is restrained, and not overly ripe and alcoholic, its brambly fruit character and spicy aromas are accented. This makes it a perfect match for any type of barbecue: sweet, smoky Texan-style with dry rubs; the North Carolina take, which focuses on mustard and vinegar; or even Korean. The bolder the flavors of a dish, the more likely it'll go with Zin.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/40/bottle_images/1480951477-19785-5362/Rancho_Zin_bottle.png,Windsor Oaks Vineyard,Red,"Chalk Hill, Russian River Valley, California",Sustainable,https://d1zo0hr4fmj52a.cloudfront.net/wine/40/lifestyle_images/1480782039-41-1855/8047-my-ba-rancho-petaluma_web.jpg,"California Zinfandel is typically known to be big and brawny–all power, no grace. While the Rancho Petaluma Zinfandel is an unctuous, concentrated red, it also has more balance, nuance and restraint. Such food-friendly elegance supporting overt fruit flavor is a signature of the Chalk Hill appellation.","For better food pairings, look for Zinfandels with alcohol of 15 percent or lower. Wines with a higher alcohol content tend to overpower food.",Magenta,"Windsor Oaks is a 700-acre farm, with two-thirds of the land protected and preserved, deeded to the Sonoma County Open Space District. Only 250 acres are planted, the vineyards occupying the foothills that straddle the border between the Russian River Valley and Chalk Hill appellations. Owners Bob and Renee Stein matched each red and white variety they grow to the myriad soils and microclimates found within their property."
33,Lichen Plank,2014,"From humble beginnings in the early 1970s in a chartreuse-lichen-covered barn overlooking their namesake vineyard, sailing friends Michael Benedict and Richard Sanford launched Santa Barbara’s wine industry, proving to skeptics that wine could thrive along California’s cool Central Coast. Although no longer owned by the two founders, the vineyard is the oldest in the Santa Rita Hills and considered one of California’s five top vineyards by Wine Enthusiast.",14.4,Neutral French oak,Chert loam,,,"The current winery, made with more than 180,000 handmade adobe blocks, is believed to be the largest handmade-adobe construction in California since the Spanish missions were built.",,"",,,3,6,0,,0,"Viognier’s perfumed aromas pair with equally aromatic meals from around the world, like Korean cuisine, ramen or other spicy meals, while its buttery notes are a natural complement to roast chicken. ",,https://d1zo0hr4fmj52a.cloudfront.net/wine/33/bottle_images/lichen-plank-sillo.png,Sanford & Benedict Vineyard,White,"Santa Rita Hills, California",Conventional,,Lichen Plank Viognier from Sanford & Benedict Vineyard is a rich wine with buttery notes from fermentation and aging in oak.,"Close your eyes while smelling wine. This frees you from focusing on what you see, allowing you to better identify flavors using only your imagination.",Straw,"The soil and climate of the Santa Rita Hills resemble those of the northern Rhône Valley in France, so grapes such as Viognier, grown in the Rhône, also thrive here. The growing season lasts more than a month longer than in other California grape-growing regions because it doesn’t rain much in the summer, and frosts are rare."
56,Sort This Out Cellars,2014,"An avid blackjack player, Michael Cobb loves mixing skill and luck. After 17 years as a wine buyer for restaurants, on a lark he and a friend opened a tasting room—they’d “sort out” its name later—as a place to help wine drinkers discover new varieties. Among their gambles: Muscat Canelli, a wine every visitor loved instantly for its tropical flavors and subtle sweetness. This one was crafted with Blue Apron to show how well the wine complements spicy foods.",12.6,Stainless steel (no oak),Various,,,"Muscat Canelli is grown around the world for sweet, dry and sparkling wines alike. It’s also blended with other varieties to lend more fruit flavors and  oral aromas.",,"",,,5,5,0,,2,"This wine’s subtle sweetness is its big strength—it’s what blunts the spicy kick in any Asian- or North African-inspired dish, and it reawakens your palate for your next bite.",,https://d1zo0hr4fmj52a.cloudfront.net/wine/56/bottle_images/sort-this-out_july-sillo.png,Various,White,"Arroyo Seco, California",Conventional,https://d1zo0hr4fmj52a.cloudfront.net/wine/56/lifestyle_images/wine-sort-this-out.jpg,"Sort This Out Cellars Muscat Canelli has overt tropical, citrus and orchard-fruit flavors, with a hint of honey. It’s beloved particularly for its lack of subtlety.",Note the wine’s sweetness on the tip of your tongue. The fermentation was stopped early to prevent all of the grapes’ sugar converting to alcohol.,Pale gold,"Arroyo Seco is a tiny, warm area in Monterey County—and one of California’s first wine regions to have designated boundaries. Less than a foot of rain falls here each year, so the vines produce small volumes of tiny grapes. But they’re intensely flavorful, a result of the vines’ roots reaching deep into the soil in search of water and nutrients."
36,Toccata,2013,"This Santa Barbara County Super Tuscan red has legitimate Italian roots. Joe Carrari, the 81-year-old son of Italian immigrants, first planted these vineyards decades ago, and later sold his vineyard to Louis “The Dirtman” Lucas. He used his pruning prowess and extensive knowledge to renovate and revitalize the vineyard, primarily by trellising each varietal differently to enhance the flavors of the grapes. The warm summer days and cool coastal nights of the Los Alamos Valley provide the perfect growing environment, allowing for the production of aromatic, full-flavored wine that maintains varietal character.",15.2,New and neutral oak,Santa Ynez clay loam,,,"Italy’s Chianti was originally required to include 10 percent white wine, but winemakers who disliked this rule created the Super Tuscan, an alternative that contains only red.",,"",,,8,5,7,,0,"This elegant red has the body to stand up to the bitter flavors of brassicas—such as turnips and broccoli—but doesn’t overwhelm meatless meals, while the plum aromas enhance the flavor of red fruits. ",,https://d1zo0hr4fmj52a.cloudfront.net/wine/36/bottle_images/Toccata-sillo.png,"67% Valley View Vineyard, 33% Los Alamos View Vineyard",Red,"Santa Barbara County, California",Conventional,,"Toccata Super Tuscan Red Blend is a California take on classic Italian red wine from Tuscany, substituting Cab Franc for Cab Sauvignon to create a more food- friendly, less bitter wine.","Blending allows the best features of each wine to shine through. In this blend, Cab Franc contributes spicy flavors while the Sangiovese brightens those flavors.",Garnet,"In Santa Barbara County AVA (American Viticultural Area), the Santa Ynez Valley has the largest concentration of vineyards on the Central Coast, thanks to its warm days and very cool nights. Winds off the Pacific Ocean have an unencumbered route into the valley, where vineyards experience a long, gentle growing season that concentrates flavors in the wine."
